,Edge,Capacity
79,"('Bytom Odrzański_i', 'Bytom Odrzański_o')",1
80,"('Szczecinek_i', 'Szczecinek_o')",1
81,"('Chojna_o', 'Gryfino_i')",1
82,"('Rytro_i', 'Rytro_o')",1
83,"('Ząbkowice Śląskie_o', 'Kamieniec Ząbkowicki_i')",1
84,"('Gdynia Główna_o', 'Sopot_i')",2
85,"('Warszawa Zachodnia_o', 'Żyrardów_i')",2
86,"('Rumia_o', 'Wejherowo_i')",1
87,"('Rumia_o', 'Gdynia Główna_i')",1
88,"('Bydgoszcz Główna_o', 'Nakło nad Notecią_i')",1
89,"('Radom Główny_o', 'Przysucha_i')",1
90,"('Rypin_i', 'Rypin_o')",0
91,"('Świebodzice_o', 'Jaworzyna Śląska_i')",1
92,"('Tychy_i', 'Tychy_o')",1
93,"('Zbąszynek_o', 'Międzyrzecz_i')",1
94,"('Kalwaria Zebrzydowska Lanckorona_i', 'Kalwaria Zebrzydowska Lanckorona_o')",1
95,"('Szamotuły_o', 'Poznań Główny_i')",1
96,"('Muszyna Zdrój_i', 'Muszyna Zdrój_o')",0
97,"('Żary_o', 'Żagań_i')",1
98,"('Świebodzice_o', 'Wałbrzych Miasto_i')",1
99,"('Jaworzno Szczakowa_o', 'Mysłowice_i')",2
100,"('Szczecinek_o', 'Białogard_i')",1
101,"('Stróże_o', 'Bobowa Miasto_i')",1
102,"('Strzelce Opolskie_o', 'Opole Główne_i')",1
103,"('Wrocław Główny_o', 'Brzeg Dolny_i')",1
104,"('Żary_o', 'Nowogród Osiedle_i')",1
105,"('Gryfino_o', 'Szczecin Główny_i')",1
106,"('Oborniki Śląskie_o', 'Wrocław Mikołajów_i')",1
107,"('Warka_o', 'Radom Gołębiów_i')",1
108,"('Nysa_i', 'Nysa_o')",0
109,"('Warszawa Wschodnia_o', 'Iława Główna_i')",2
110,"('Legnica_o', 'Lubin_i')",1
111,"('Wrocław Nadodrze_i', 'Wrocław Nadodrze_o')",1
112,"('Piła Główna_o', 'Jastrowie_i')",1
113,"('Kutno_o', 'Konin_i')",1
114,"('Racibórz_o', 'Chałupki_i')",1
115,"('Ciechanów_o', 'Nasielsk_i')",1
116,"('Wyrzysk Osiek_o', 'Nakło nad Notecią_i')",1
117,"('Bydgoszcz Główna_i', 'Bydgoszcz Główna_o')",2
118,"('Wałcz_o', 'Tuczno Krajeńskie_i')",1
119,"('Pszczyna_o', 'Czechowice-Dziedzice_i')",2
120,"('Tarnów_o', 'Bochnia_i')",1
121,"('Łódź Retkinia_i', 'Łódź Retkinia_o')",0
122,"('Koluszki_i', 'Koluszki_o')",1
123,"('Zielona Góra Główna_o', 'Nowogród Osiedle_i')",1
124,"('Koszalin_o', 'Białogard_i')",1
125,"('Łódź Widzew_o', 'Łódź Fabryczna_i')",1
126,"('Tarnów_o', 'Dębica_i')",1
127,"('Rybnik_o', 'Kuźnia Raciborska_i')",1
128,"('Biłgoraj_o', 'Tereszpol Biłgorajski_i')",1
129,"('Bochnia_o', 'Kraków Płaszów_i')",1
130,"('Warszawa Zachodnia_o', 'Włoszczowa Północ_i')",1
131,"('Tłuszcz_o', 'Łochów_i')",1
132,"('Koluszki_o', 'Tomaszów Mazowiecki_i')",1
133,"('Grybów_o', 'Nowy Sącz_i')",1
134,"('Bochnia_i', 'Bochnia_o')",0
135,"('Grudziądz_i', 'Grudziądz_o')",1
136,"('Kowalewo Pomorskie_o', 'Toruń Wschodni_i')",1
137,"('Nakło nad Notecią_o', 'Wyrzysk Osiek_i')",1
138,"('Wrocław Główny_i', 'Wrocław Główny_o')",3
139,"('Strzelin_i', 'Strzelin_o')",0
140,"('Recz Pomorski_i', 'Recz Pomorski_o')",0
141,"('Recz Pomorski_o', 'Kalisz Pomorski_i')",1
142,"('Krynica Zdrój_i', 'Krynica Zdrój_o')",0
143,"('Bobowa Miasto_o', 'Bogoniowice Ciężkowice_i')",1
144,"('Pszczyna_o', 'Tychy_i')",1
145,"('Szczytno_o', 'Ruciane Nida_i')",1
146,"('Łapy_o', 'Białystok Zielone Wzgórza_i')",1
147,"('Poznań Główny_o', 'Szamotuły_i')",1
148,"('Rzeszów Główny_o', 'Sędziszów Małopolski_i')",1
149,"('Katowice_o', 'Mysłowice_i')",1
150,"('Kluczbork_o', 'Byczyna Kluczborska_i')",1
151,"('Radom Główny_i', 'Radom Główny_o')",2
152,"('Otmuchów_i', 'Otmuchów_o')",0
153,"('Łódź Dąbrowa_o', 'Łódź Widzew_i')",1
154,"('Rytro_o', 'Stary Sącz_i')",1
155,"('Prabuty_o', 'Iława Główna_i')",1
156,"('Opalenica_o', 'Nowy Tomyśl_i')",1
157,"('Zabrze_o', 'Katowice_i')",2
158,"('Działdowo_i', 'Działdowo_o')",1
159,"('Piła Główna_o', 'Krajenka_i')",1
160,"('Brzeg Dolny_o', 'Wołów_i')",1
161,"('Wałbrzych Miasto_o', 'Wałbrzych Główny_i')",1
162,"('Łódź\xa0Żabiniec_o', 'Zgierz_i')",1
163,"('Lubin_i', 'Lubin_o')",1
164,"('Kętrzyn_o', 'Olsztyn Główny_i')",1
165,"('Nowy Sącz_o', 'Grybów_i')",1
166,"('Olsztyn Zachodni_o', 'Morąg_i')",1
167,"('Łask_o', 'Pabianice_i')",1
168,"('Grodzisk Mazowiecki_o', 'Warszawa Gdańska_i')",1
169,"('Koniecpol_o', 'Miechów_i')",1
170,"('Rybnik_o', 'Racibórz_i')",1
171,"('Sucha Beskidzka Zamek_i', 'Sucha Beskidzka Zamek_o')",0
172,"('Smętowo_o', 'Tczew_i')",1
173,"('Płock_o', 'Sierpc_i')",1
174,"('Elbląg_o', 'Malbork_i')",1
175,"('Smętowo_o', 'Pelplin_i')",1
176,"('Stargard_o', 'Recz Pomorski_i')",1
177,"('Racibórz_o', 'Kędzierzyn Koźle_i')",1
178,"('Świdnik Miasto_i', 'Świdnik Miasto_o')",0
179,"('Bydgoszcz Leśna_i', 'Bydgoszcz Leśna_o')",0
180,"('Złotów_o', 'Lipka Krajeńska_i')",1
181,"('Oświęcim_o', 'Kraków Główny_i')",1
182,"('Rejowiec_o', 'Chełm Miasto_i')",1
183,"('Dąbrowa Białostocka_o', 'Sokółka_i')",1
184,"('Rzepin_i', 'Rzepin_o')",2
185,"('Zawada_o', 'Zamość_i')",1
186,"('Słupsk_o', 'Sławno_i')",1
187,"('Radomsko_i', 'Radomsko_o')",1
188,"('Grodzisk Mazowiecki_o', 'Warszawa Zachodnia_i')",1
189,"('Żegiestów Zdrój_i', 'Żegiestów Zdrój_o')",1
190,"('Gdańsk Główny_i', 'Gdańsk Główny_o')",3
191,"('Gniezno_i', 'Gniezno_o')",1
192,"('Sławno_o', 'Słupsk_i')",2
193,"('Tychy_o', 'Pszczyna_i')",2
194,"('Łódź Chojny_o', 'Łódź Widzew_i')",1
195,"('Bydgoszcz Główna_o', 'Inowrocław_i')",1
196,"('Pionki Zachodnie_o', 'Puławy Miasto_i')",1
197,"('Otwock_o', 'Warszawa Wschodnia_i')",1
198,"('Zaklików_o', 'Kraśnik_i')",1
199,"('Mrozy_o', 'Siedlce Zachodnie_i')",1
200,"('Rejowiec_i', 'Rejowiec_o')",0
201,"('Bydgoszcz Wschód_o', 'Solec Kujawski_i')",2
202,"('Radom Główny_o', 'Skarżysko Kościelne_i')",1
203,"('Łódź Widzew_o', 'Piotrków Trybunalski_i')",1
204,"('Legionowo_o', 'Warszawa Gdańska_i')",1
205,"('Białogard_o', 'Koszalin_i')",2
206,"('Zbąszyń_o', 'Zbąszynek_i')",1
207,"('Chełm Miasto_o', 'Rejowiec_i')",1
208,"('Sędziszów_o', 'Jędrzejów_i')",1
209,"('Sędziszów Małopolski_o', 'Ropczyce_i')",1
210,"('Kuźnia Raciborska_i', 'Kuźnia Raciborska_o')",1
211,"('Babimost_o', 'Zbąszynek_i')",1
212,"('Oleśnica Rataje_o', 'Wrocław Nadodrze_i')",1
213,"('Choszczno_o', 'Krzyż_i')",1
214,"('Oława_i', 'Oława_o')",2
215,"('Jarosław_o', 'Przeworsk_i')",1
216,"('Kędzierzyn Koźle_o', 'Kuźnia Raciborska_i')",1
217,"('Koniecpol_o', 'Częstochowa Stradom_i')",1
218,"('Racibórz_o', 'Gliwice_i')",1
219,"('Iława Główna_i', 'Iława Główna_o')",1
220,"('Nowe Drezdenko_i', 'Nowe Drezdenko_o')",0
221,"('Żagań_o', 'Małomice_i')",1
222,"('Rogoźno Wielkopolskie_o', 'Chodzież_i')",1
223,"('Zawiercie_i', 'Zawiercie_o')",1
224,"('Czersk_o', 'Chojnice_i')",1
225,"('Radymno_o', 'Przemyśl Zasanie_i')",2
226,"('Warszawa Wschodnia_o', 'Gdańsk Główny_i')",2
227,"('Wrocław Mikołajów_i', 'Wrocław Mikołajów_o')",1
228,"('Iława Główna_o', 'Prabuty_i')",1
229,"('Lublin Zachodni_i', 'Lublin Zachodni_o')",1
230,"('Kołobrzeg_o', 'Ustronie Morskie_i')",1
231,"('Wronki_o', 'Krzyż_i')",1
232,"('Krzyż_o', 'Wieleń_i')",1
233,"('Warszawa Gdańska_o', 'Otwock_i')",1
234,"('Wołów_o', 'Brzeg Dolny_i')",1
235,"('Sierpc_o', 'Płock_i')",1
236,"('Sopot_o', 'Gdańsk Oliwa_i')",1
237,"('Skarżysko Kamienna_i', 'Skarżysko Kamienna_o')",2
238,"('Mrozy_o', 'Mińsk Mazowiecki_i')",2
239,"('Włoszczowa Północ_o', 'Opoczno Południe_i')",2
240,"('Kamieniec Ząbkowicki_o', 'Ząbkowice Śląskie_i')",1
241,"('Ostrów Wielkopolski_o', 'Kalisz_i')",1
242,"('Kraków Główny_o', 'Warszawa Zachodnia_i')",3
243,"('Tczew_i', 'Tczew_o')",2
244,"('Tereszpol Biłgorajski_o', 'Zwierzyniec_i')",1
245,"('Piwniczna Zdrój_o', 'Łomnica Zdrój_i')",1
246,"('Poznań Główny_o', 'Oborniki Wielkopolskie Miasto_i')",1
247,"('Skarżysko Kościelne_o', 'Starachowice Wschodnie_i')",1
248,"('Dęblin_o', 'Pilawa_i')",1
249,"('Konin_o', 'Poznań Główny_i')",2
250,"('Bobowa Miasto_i', 'Bobowa Miasto_o')",0
251,"('Łuków_o', 'Międzyrzec Podlaski_i')",1
252,"('Czyżew_o', 'Szepietowo_i')",1
253,"('Włoszczowa_o', 'Zawiercie_i')",1
254,"('Rudnik nad Sanem_i', 'Rudnik nad Sanem_o')",1
255,"('Radymno_i', 'Radymno_o')",1
256,"('Wrocław Główny_o', 'Brzeg_i')",1
257,"('Mockava_o', 'Trakiszki_i')",1
258,"('Wrocław Nadodrze_o', 'Wrocław Mikołajów_i')",1
259,"('Przemyśl Główny_o', 'Przemyśl Zasanie_i')",1
260,"('Iława Główna_o', 'Ciechanów_i')",1
261,"('Chełm_i', 'Chełm_o')",1
262,"('Chełm_o', 'Dorohusk_i')",1
263,"('Gliwice_o', 'Zabrze_i')",2
264,"('Giżycko_o', 'Kętrzyn_i')",1
265,"('Katowice_o', 'Chorzów Batory_i')",1
266,"('Chotyłów_o', 'Małaszewicze Przystanek_i')",1
267,"('Warszawa Zachodnia_o', 'Sochaczew_i')",2
268,"('Nowe Drezdenko_o', 'Krzyż_i')",1
269,"('Oleśnica Rataje_o', 'Milicz_i')",1
270,"('Opole Główne_o', 'Ozimek_i')",1
271,"('Ełk_o', 'Biała Piska_i')",1
272,"('Pilawa_i', 'Pilawa_o')",0
273,"('Racibórz_i', 'Racibórz_o')",1
274,"('Wieluń_i', 'Wieluń_o')",0
275,"('Stalowa Wola Rozwadów_o', 'Biłgoraj_i')",1
276,"('Łódź Pabianicka_i', 'Łódź Pabianicka_o')",0
277,"('Jastrowie_i', 'Jastrowie_o')",1
278,"('Chotyłów_o', 'Biała Podlaska_i')",1
279,"('Zdzieszowice_i', 'Zdzieszowice_o')",1
280,"('Pyskowice_o', 'Strzelce Opolskie_i')",1
281,"('Czyżew_o', 'Małkinia_i')",1
282,"('Łódź Retkinia_o', 'Pabianice_i')",1
283,"('Warszawa Centralna_i', 'Warszawa Centralna_o')",1
284,"('Pelplin_o', 'Smętowo_i')",1
285,"('Pieńsk_o', 'Zgorzelec Miasto_i')",1
286,"('Sanok_o', 'Zarszyn_i')",1
287,"('Dorohusk_o', 'Jahodyn_i')",1
288,"('Skarżysko Kamienna_o', 'Suchedniów_i')",1
289,"('Wąbrzeźno_i', 'Wąbrzeźno_o')",0
290,"('Sucha Beskidzka Zamek_o', 'Kalwaria Zebrzydowska Lanckorona_i')",1
291,"('Zawada_o', 'Szczebrzeszyn_i')",1
292,"('Sędzisław_o', 'Wałbrzych Główny_i')",1
293,"('Leszno_i', 'Leszno_o')",1
294,"('Sędziszów Małopolski_i', 'Sędziszów Małopolski_o')",1
295,"('Jelenia Góra_i', 'Jelenia Góra_o')",0
296,"('Kwidzyn_o', 'Sztum_i')",1
297,"('Kraków Główny_o', 'Oświęcim_i')",1
298,"('Zielona Góra Główna_o', 'Rzepin_i')",2
299,"('Tychy_o', 'Katowice_i')",1
300,"('Jaworzyna Śląska_o', 'Wrocław Główny_i')",1
301,"('Mińsk Mazowiecki_o', 'Mrozy_i')",1
302,"('Siedlce_i', 'Siedlce_o')",1
303,"('Ozorków_o', 'Łęczyca_i')",1
304,"('Nowy Targ_i', 'Nowy Targ_o')",1
305,"('Nowa Dęba_i', 'Nowa Dęba_o')",1
306,"('Zamość_o', 'Zawada_i')",1
307,"('Dęblin_o', 'Sobolew_i')",1
308,"('Zawada_i', 'Zawada_o')",1
309,"('Zawiercie_o', 'Warszawa Gdańska_i')",1
310,"('Lublin Główny_i', 'Lublin Główny_o')",2
311,"('Mogilno_o', 'Inowrocław Rąbinek_i')",1
312,"('Świebodzin_o', 'Rzepin_i')",1
313,"('Hajnówka_i', 'Hajnówka_o')",1
314,"('Piła Główna_o', 'Trzcianka_i')",1
315,"('Pionki Zachodnie_i', 'Pionki Zachodnie_o')",0
316,"('Dąbrowa Górnicza_i', 'Dąbrowa Górnicza_o')",1
317,"('Szczecinek_o', 'Piła Główna_i')",1
318,"('Warszawa Gdańska_o', 'Warszawa Młynów_i')",1
319,"('Ozorków_o', 'Zgierz_i')",1
320,"('Świebodzin_i', 'Świebodzin_o')",0
321,"('Zebrzydowice_o', 'Petrovice u Karviné_i')",1
322,"('Świdnik Miasto_o', 'Lublin Główny_i')",1
323,"('Kolbuszowa_o', 'Rzeszów Zachodni_i')",1
324,"('Zakopane_i', 'Zakopane_o')",0
325,"('Miechów_o', 'Częstochowa Stradom_i')",1
326,"('Petrovice u Karviné_o', 'Zebrzydowice_i')",1
327,"('Morąg_o', 'Pasłęk_i')",1
328,"('Czeremcha_o', 'Nurzec_i')",1
329,"('Jasło_i', 'Jasło_o')",1
330,"('Zawiercie_o', 'Warszawa Zachodnia_i')",1
331,"('Inowrocław Rąbinek_i', 'Inowrocław Rąbinek_o')",1
332,"('Rzeszów Główny_i', 'Rzeszów Główny_o')",1
333,"('Jedlicze_i', 'Jedlicze_o')",0
334,"('Olesno Śląskie_o', 'Kluczbork_i')",1
335,"('Parczew_o', 'Radzyń Podlaski_i')",1
336,"('Rawicz_i', 'Rawicz_o')",1
337,"('Ostrzeszów_i', 'Ostrzeszów_o')",1
338,"('Chociwel_i', 'Chociwel_o')",1
339,"('Wałbrzych Główny_o', 'Wałbrzych Miasto_i')",1
340,"('Pleszew_o', 'Kalisz_i')",1
341,"('Września_i', 'Września_o')",1
342,"('Brzeg Dolny_i', 'Brzeg Dolny_o')",1
343,"('Białystok Zielone Wzgórza_i', 'Białystok Zielone Wzgórza_o')",1
344,"('Kraśnik_i', 'Kraśnik_o')",0
345,"('Poznań Główny_o', 'Kościan_i')",1
346,"('Piotrków Trybunalski_i', 'Piotrków Trybunalski_o')",1
347,"('Sobolew_i', 'Sobolew_o')",0
348,"('Goleniów_o', 'Szczecin Dąbie_i')",1
349,"('Rzeszów Główny_o', 'Rzeszów Zachodni_i')",1
350,"('Międzyrzec Podlaski_i', 'Międzyrzec Podlaski_o')",1
351,"('Kluczbork_o', 'Olesno Śląskie_i')",1
352,"('Działdowo_o', 'Iława Główna_i')",2
353,"('Kalisz_i', 'Kalisz_o')",0
354,"('Strzelce Krajeńskie Wschód_o', 'Nowe Drezdenko_i')",1
355,"('Rokitki_i', 'Rokitki_o')",1
356,"('Warszawa Zachodnia (Peron 9)_o', 'Warszawa Służewiec_i')",1
357,"('Trawniki_o', 'Krasnystaw Miasto_i')",1
358,"('Zbąszynek_i', 'Zbąszynek_o')",1
359,"('Nowy Targ_o', 'Poronin_i')",1
360,"('Kuźnia Raciborska_o', 'Rybnik_i')",1
361,"('Wierchomla Wielka_o', 'Żegiestów Zdrój_i')",1
362,"('Głogów_o', 'Ścinawa_i')",1
363,"('Kutno_o', 'Żychlin_i')",1
364,"('Grudziądz_o', 'Jabłonowo Pomorskie_i')",1
365,"('Nowy Dwór Mazowiecki_o', 'Ciechanów_i')",2
366,"('Zielona Góra Główna_o', 'Sulechów_i')",1
367,"('Drzewica_o', 'Przysucha_i')",1
368,"('Rybnik_o', 'Katowice_i')",1
369,"('Pszczyna_i', 'Pszczyna_o')",1
370,"('Nowy Dwór Mazowiecki_o', 'Nasielsk_i')",1
371,"('Nasielsk_o', 'Ciechanów_i')",1
372,"('Katowice_o', 'Kraków Główny_i')",1
373,"('Małkinia_i', 'Małkinia_o')",1
374,"('Łapy_o', 'Szepietowo_i')",1
375,"('Gdańsk Wrzeszcz_i', 'Gdańsk Wrzeszcz_o')",1
376,"('Sokółka_o', 'Białystok_i')",1
377,"('Warszawa Główna_o', 'Warszawa Zachodnia_i')",1
378,"('Wieleń_o', 'Krzyż_i')",1
379,"('Wrocław Główny_o', 'Strzelin_i')",1
380,"('Oława_o', 'Wrocław Główny_i')",2
381,"('Inowrocław_o', 'Mogilno_i')",2
382,"('Krasnystaw Miasto_o', 'Trawniki_i')",1
383,"('Białystok_o', 'Sokółka_i')",1
384,"('Goleniów_o', 'Wysoka Kamieńska_i')",1
385,"('Szczytno_o', 'Olsztyn Główny_i')",1
386,"('Tarnów_o', 'Kraków Płaszów_i')",1
387,"('Sopot_o', 'Gdynia Główna_i')",3
388,"('Gorzów Wielkopolski Wschodni_o', 'Gorzów Wielkopolski_i')",1
389,"('Przemyśl Główny_o', 'Mostiska II_i')",1
390,"('Koluszki_o', 'Łódź Widzew_i')",2
391,"('Opole Główne_o', 'Kędzierzyn Koźle_i')",1
392,"('Białogard_i', 'Białogard_o')",2
393,"('Tuczno Krajeńskie_i', 'Tuczno Krajeńskie_o')",0
394,"('Małaszewicze Przystanek_o', 'Terespol_i')",1
395,"('Bogoniowice Ciężkowice_i', 'Bogoniowice Ciężkowice_o')",0
396,"('Łódź Fabryczna_o', 'Łódź Widzew_i')",2
397,"('Radom Główny_o', 'Warka_i')",1
398,"('Ustronie Morskie_o', 'Kołobrzeg_i')",1
399,"('Bielsko-Biała Główna_i', 'Bielsko-Biała Główna_o')",0
400,"('Szczebrzeszyn_o', 'Zawada_i')",1
401,"('Aleksandrów Kujawski_o', 'Toruń Główny_i')",2
402,"('Kołobrzeg_o', 'Białogard_i')",1
403,"('Międzyrzec Podlaski_o', 'Łuków_i')",1
404,"('Rybnik_o', 'Tychy_i')",1
405,"('Dzierżoniów Śląski_o', 'Ząbkowice Śląskie_i')",1
406,"('Chodzież_o', 'Rogoźno Wielkopolskie_i')",1
407,"('Głogów_o', 'Lubin_i')",1
408,"('Szczecinek_o', 'Jastrowie_i')",1
409,"('Tuczno Krajeńskie_o', 'Wałcz_i')",1
410,"('Oświęcim_o', 'Czechowice-Dziedzice_i')",1
411,"('Działdowo_o', 'Warszawa Wschodnia_i')",1
412,"('Łomnica Zdrój_o', 'Piwniczna Zdrój_i')",1
413,"('Poznań Główny_i', 'Poznań Główny_o')",4
414,"('Świnoujście_o', 'Międzyzdroje_i')",1
415,"('Poznań Główny_o', 'Zbąszynek_i')",1
416,"('Mostiska II_o', 'Przemyśl Główny_i')",1
417,"('Opalenica_i', 'Opalenica_o')",1
418,"('Leżajsk_i', 'Leżajsk_o')",1
419,"('Radom Główny_o', 'Skarżysko Kamienna_i')",2
420,"('Zarszyn_o', 'Wróblik Szlachecki_i')",1
421,"('Słupca_i', 'Słupca_o')",1
422,"('Inowrocław Rąbinek_o', 'Mogilno_i')",1
423,"('Kraków Główny_o', 'Tarnów_i')",1
424,"('Łódź Dąbrowa_i', 'Łódź Dąbrowa_o')",0
425,"('Wierchomla Wielka_i', 'Wierchomla Wielka_o')",0
426,"('Lipka Krajeńska_o', 'Chojnice_i')",1
427,"('Jarosław_o', 'Radymno_i')",1
428,"('Zgorzelec Miasto_o', 'Pieńsk_i')",1
429,"('Toruń Miasto_o', 'Toruń Główny_i')",1
430,"('Czarna Woda_i', 'Czarna Woda_o')",0
431,"('Laskowice Pomorskie_i', 'Laskowice Pomorskie_o')",1
432,"('Szczecin Dąbie_o', 'Stargard_i')",2
433,"('Suchedniów_i', 'Suchedniów_o')",0
434,"('Czarna Woda_o', 'Łąg_i')",1
435,"('Małaszewicze Przystanek_i', 'Małaszewicze Przystanek_o')",0
436,"('Świnoujście_i', 'Świnoujście_o')",0
437,"('Skierniewice_o', 'Koluszki_i')",2
438,"('Stary Sącz_i', 'Stary Sącz_o')",0
439,"('Przysucha_o', 'Drzewica_i')",1
440,"('Zarszyn_i', 'Zarszyn_o')",0
441,"('Trawniki_o', 'Rejowiec_i')",1
442,"('Paczków_o', 'Otmuchów_i')",1
443,"('Wrocław Główny_o', 'Oława_i')",2
444,"('Wałcz_o', 'Piła Główna_i')",1
445,"('Łąg_o', 'Czersk_i')",1
446,"('Włoszczowa Północ_o', 'Warszawa Zachodnia_i')",1
447,"('Piaseczno_o', 'Warka_i')",1
448,"('Łańcut_i', 'Łańcut_o')",1
449,"('Nowogród Osiedle_o', 'Zielona Góra Główna_i')",1
450,"('Ozimek_o', 'Opole Główne_i')",1
451,"('Sosnowiec Główny_o', 'Będzin Miasto_i')",1
452,"('Stalowa Wola Charzewice_o', 'Tarnobrzeg_i')",1
453,"('Wrocław Nadodrze_o', 'Oleśnica Rataje_i')",1
454,"('Żmigród_i', 'Żmigród_o')",1
455,"('Chrzanów Śródmieście_i', 'Chrzanów Śródmieście_o')",0
456,"('Koniecpol_o', 'Włoszczowa_i')",1
457,"('Dąbrowa Górnicza_o', 'Zawiercie_i')",2
458,"('Oborniki Wielkopolskie Miasto_o', 'Rogoźno Wielkopolskie_i')",1
459,"('Przemyśl Główny_i', 'Przemyśl Główny_o')",2
460,"('Dąbrowa Górnicza_o', 'Sosnowiec Główny_i')",1
461,"('Toruń Wschodni_i', 'Toruń Wschodni_o')",0
462,"('Zamość Wschód_i', 'Zamość Wschód_o')",0
463,"('Wróblik Szlachecki_o', 'Krosno Miasto_i')",1
464,"('Bolesławiec_o', 'Chojnów_i')",1
