,Edge,Capacity
266,"('Krotoszyn_i', 'Krotoszyn_o')",1
267,"('Zbąszynek_o', 'Międzyrzecz_i')",1
268,"('Osowiec_o', 'Grajewo_i')",1
269,"('Łańcut_o', 'Przeworsk_i')",1
270,"('Pszczyna_i', 'Pszczyna_o')",1
271,"('Szczebrzeszyn_o', 'Zawada_i')",1
272,"('Nowa Dęba_o', 'Tarnobrzeg_i')",1
273,"('Kamieniec Ząbkowicki_o', 'Bardo Śląskie_i')",1
274,"('Środa Śląska_i', 'Środa Śląska_o')",0
275,"('Suchedniów_o', 'Skarżysko Kamienna_i')",1
276,"('Zarszyn_o', 'Wróblik Szlachecki_i')",1
277,"('Włocławek_o', 'Kutno_i')",2
278,"('Skarżysko Kamienna_o', 'Suchedniów_i')",1
279,"('Będzin Miasto_i', 'Będzin Miasto_o')",0
280,"('Chojnice_i', 'Chojnice_o')",0
281,"('Rzepin_i', 'Rzepin_o')",2
282,"('Krosno Miasto_i', 'Krosno Miasto_o')",0
283,"('Kraków Płaszów_o', 'Bochnia_i')",1
284,"('Choszczno_i', 'Choszczno_o')",1
285,"('Nowa Sól_o', 'Zielona Góra Główna_i')",1
286,"('Nysa_o', 'Otmuchów_i')",1
287,"('Terespol_i', 'Terespol_o')",0
288,"('Częstochowa Stradom_o', 'Częstochowa_i')",1
289,"('Jarocin_i', 'Jarocin_o')",1
290,"('Racibórz_o', 'Kędzierzyn Koźle_i')",1
291,"('Częstochowa Stradom_o', 'Warszawa Zachodnia_i')",1
292,"('Szamotuły_o', 'Poznań Główny_i')",1
293,"('Łask_i', 'Łask_o')",1
294,"('Pabianice_o', 'Łask_i')",1
295,"('Pyskowice_o', 'Strzelce Opolskie_i')",1
296,"('Środa Wielkopolska_o', 'Jarocin_i')",1
297,"('Włocławek_i', 'Włocławek_o')",2
298,"('Nakło nad Notecią_i', 'Nakło nad Notecią_o')",0
299,"('Sulechów_o', 'Babimost_i')",1
300,"('Nowe Drezdenko_o', 'Krzyż_i')",1
301,"('Sandomierz_o', 'Stalowa Wola Rozwadów_i')",1
302,"('Wrocław Główny_o', 'Strzelin_i')",1
303,"('Nowy Targ_o', 'Kraków Główny_i')",1
304,"('Miechów_o', 'Sędziszów_i')",1
305,"('Czyżew_i', 'Czyżew_o')",0
306,"('Koszalin_i', 'Koszalin_o')",1
307,"('Ełk_o', 'Grajewo_i')",1
308,"('Jarosław_o', 'Przemyśl Zasanie_i')",1
309,"('Trzebinia_i', 'Trzebinia_o')",1
310,"('Rogoźno Wielkopolskie_o', 'Oborniki Wielkopolskie Miasto_i')",1
311,"('Inowrocław Rąbinek_i', 'Inowrocław Rąbinek_o')",1
312,"('Działdowo_i', 'Działdowo_o')",1
313,"('Warszawa Młynów_o', 'Warszawa Zachodnia (Peron 9)_i')",1
314,"('Katowice_o', 'Sosnowiec Główny_i')",1
315,"('Sosnowiec Główny_o', 'Warszawa Zachodnia_i')",1
316,"('Parczew_o', 'Lubartów_i')",1
317,"('Łuków_o', 'Międzyrzec Podlaski_i')",1
318,"('Warszawa Centralna_i', 'Warszawa Centralna_o')",5
319,"('Mysłowice_i', 'Mysłowice_o')",2
320,"('Krasnystaw Miasto_o', 'Izbica_i')",1
321,"('Mrozy_o', 'Mińsk Mazowiecki_i')",2
322,"('Hajnówka_i', 'Hajnówka_o')",1
323,"('Parczew_o', 'Radzyń Podlaski_i')",1
324,"('Siemiatycze_o', 'Nurzec_i')",1
325,"('Przeworsk_o', 'Jarosław_i')",1
326,"('Dęblin_o', 'Sobolew_i')",1
327,"('Aleksandrów Kujawski_o', 'Włocławek_i')",2
328,"('Giżycko_i', 'Giżycko_o')",0
329,"('Nowy Tomyśl_i', 'Nowy Tomyśl_o')",1
330,"('Chałupki_o', 'Wodzisław Śląski_i')",1
331,"('Starachowice Wschodnie_o', 'Skarżysko Kościelne_i')",1
332,"('Krzyż_o', 'Nowe Drezdenko_i')",1
333,"('Witnica_i', 'Witnica_o')",0
334,"('Częstochowa_o', 'Koniecpol_i')",1
335,"('Olsztyn Zachodni_o', 'Morąg_i')",1
336,"('Koniecpol_o', 'Częstochowa_i')",1
337,"('Sędziszów_o', 'Miechów_i')",1
338,"('Suwałki_o', 'Augustów_i')",1
339,"('Nisko_o', 'Stalowa Wola Centrum_i')",1
340,"('Kościan_o', 'Poznań Główny_i')",1
341,"('Zduńska Wola_o', 'Łask_i')",1
342,"('Tychy_o', 'Katowice_i')",1
343,"('Suwałki_i', 'Suwałki_o')",1
344,"('Otmuchów_o', 'Paczków_i')",1
345,"('Lublin Główny_o', 'Lublin Zachodni_i')",2
346,"('Stalowa Wola Charzewice_i', 'Stalowa Wola Charzewice_o')",0
347,"('Grajewo_o', 'Ełk_i')",1
348,"('Chełm Miasto_o', 'Rejowiec_i')",1
349,"('Chojnów_i', 'Chojnów_o')",0
350,"('Jaworzyna Śląska_o', 'Świebodzice_i')",1
351,"('Lubartów_i', 'Lubartów_o')",0
352,"('Strzelce Opolskie_o', 'Pyskowice_i')",1
353,"('Sopot_o', 'Gdynia Główna_i')",3
354,"('Kolbuszowa_o', 'Nowa Dęba_i')",1
355,"('Niemojki_i', 'Niemojki_o')",0
356,"('Sarnaki_i', 'Sarnaki_o')",1
357,"('Chociwel_o', 'Stargard_i')",1
358,"('Warszawa Gdańska_o', 'Legionowo_i')",1
359,"('Kaliska_o', 'Czarna Woda_i')",1
360,"('Łapy_i', 'Łapy_o')",0
361,"('Milicz_i', 'Milicz_o')",0
362,"('Łódź Pabianicka_i', 'Łódź Pabianicka_o')",0
363,"('Słupca_i', 'Słupca_o')",1
364,"('Miechów_o', 'Koniecpol_i')",1
365,"('Zawiercie_o', 'Dąbrowa Górnicza_i')",2
366,"('Elbląg_o', 'Malbork_i')",1
367,"('Biała Piska_o', 'Pisz_i')",1
368,"('Rytro_o', 'Piwniczna Zdrój_i')",1
369,"('Malbork_o', 'Prabuty_i')",1
370,"('Tczew_i', 'Tczew_o')",2
371,"('Ostrów Wielkopolski_o', 'Ostrzeszów_i')",1
372,"('Toruń Wschodni_o', 'Kowalewo Pomorskie_i')",1
373,"('Żyrardów_i', 'Żyrardów_o')",1
374,"('Jędrzejów_o', 'Sędziszów_i')",1
375,"('Lubartów_o', 'Lublin Główny_i')",1
376,"('Babiak_o', 'Kutno_i')",1
377,"('Warszawa Zachodnia_o', 'Sochaczew_i')",2
378,"('Suchedniów_o', 'Kielce_i')",2
379,"('Toruń Miasto_o', 'Toruń Główny_i')",1
380,"('Sopot_i', 'Sopot_o')",2
381,"('Świebodzice_o', 'Jaworzyna Śląska_i')",1
382,"('Kutno_o', 'Żychlin_i')",1
383,"('Tarnów_i', 'Tarnów_o')",1
384,"('Prabuty_o', 'Iława Główna_i')",1
385,"('Kędzierzyn Koźle_o', 'Opole Główne_i')",1
386,"('Miechów_i', 'Miechów_o')",1
387,"('Bardo Śląskie_i', 'Bardo Śląskie_o')",0
388,"('Płock_o', 'Sierpc_i')",1
389,"('Wrocław Mikołajów_i', 'Wrocław Mikołajów_o')",1
390,"('Sulechów_o', 'Zielona Góra Główna_i')",1
391,"('Łobez_i', 'Łobez_o')",1
392,"('Sieradz_o', 'Zduńska Wola_i')",1
393,"('Wołomin_i', 'Wołomin_o')",0
394,"('Maków Podhalański_o', 'Sucha Beskidzka Zamek_i')",1
395,"('Wałbrzych Główny_o', 'Sędzisław_i')",1
396,"('Kostrzyn_i', 'Kostrzyn_o')",1
397,"('Oborniki Śląskie_o', 'Wrocław Mikołajów_i')",1
398,"('Wieluń_o', 'Wieruszów Miasto_i')",1
399,"('Żagań_i', 'Żagań_o')",0
400,"('Wałbrzych Miasto_o', 'Świebodzice_i')",1
401,"('Sandomierz_i', 'Sandomierz_o')",0
402,"('Jahodyn_o', 'Dorohusk_i')",1
403,"('Krajenka_o', 'Piła Główna_i')",1
404,"('Radymno_o', 'Jarosław_i')",1
405,"('Białogard_o', 'Kołobrzeg_i')",1
406,"('Głogów_o', 'Zielona Góra Główna_i')",1
407,"('Kraków Główny_o', 'Katowice_i')",1
408,"('Ruciane Nida_i', 'Ruciane Nida_o')",1
409,"('Kościan_i', 'Kościan_o')",1
410,"('Lębork_o', 'Gdynia Główna_i')",1
411,"('Krotoszyn_o', 'Milicz_i')",1
412,"('Gorlice Zagórzany_i', 'Gorlice Zagórzany_o')",0
413,"('Przemyśl Główny_o', 'Przemyśl Zasanie_i')",1
414,"('Nowa Sarzyna_o', 'Leżajsk_i')",1
415,"('Włoszczowa Północ_o', 'Opoczno Południe_i')",2
416,"('Mysłowice_o', 'Jaworzno Szczakowa_i')",1
417,"('Bytom Odrzański_i', 'Bytom Odrzański_o')",1
418,"('Świdnica Miasto_o', 'Dzierżoniów Śląski_i')",1
419,"('Nowa Ruda_o', 'Jedlina-Zdrój_i')",1
420,"('Żmigród_o', 'Oborniki Śląskie_i')",1
421,"('Przeworsk_i', 'Przeworsk_o')",1
422,"('Kraków Główny_o', 'Miechów_i')",2
423,"('Lubin_o', 'Legnica_i')",1
424,"('Piła Główna_o', 'Jastrowie_i')",1
425,"('Gogolin_o', 'Zdzieszowice_i')",1
426,"('Poznań Główny_o', 'Gniezno_i')",2
427,"('Jaworzno Szczakowa_o', 'Mysłowice_i')",2
428,"('Wieruszów Miasto_o', 'Wieluń_i')",1
429,"('Kraków Główny_o', 'Kraków Płaszów_i')",1
430,"('Leżajsk_o', 'Nowa Sarzyna_i')",1
431,"('Strzelin_o', 'Ziębice_i')",1
432,"('Piotrków Trybunalski_o', 'Koluszki_i')",1
433,"('Tuczno Krajeńskie_o', 'Kalisz Pomorski_i')",1
434,"('Ustka_o', 'Słupsk_i')",1
435,"('Chałupki_o', 'Bohumín_i')",1
436,"('Choszczno_o', 'Krzyż_i')",1
437,"('Babimost_o', 'Sulechów_i')",1
438,"('Stróże_i', 'Stróże_o')",1
439,"('Pieńsk_o', 'Zgorzelec Miasto_i')",1
440,"('Łęczyca_i', 'Łęczyca_o')",1
441,"('Częstochowa_i', 'Częstochowa_o')",1
442,"('Zagórz_i', 'Zagórz_o')",0
443,"('Brzeg_o', 'Oława_i')",2
444,"('Kraków Główny_o', 'Warszawa Zachodnia_i')",3
445,"('Kołobrzeg_i', 'Kołobrzeg_o')",0
446,"('Kamieniec Ząbkowicki_i', 'Kamieniec Ząbkowicki_o')",1
447,"('Małkinia_i', 'Małkinia_o')",1
448,"('Radomsko_o', 'Piotrków Trybunalski_i')",2
449,"('Mińsk Mazowiecki_o', 'Warszawa Wschodnia_i')",2
450,"('Warszawa Gdańska_o', 'Warszawa Młynów_i')",1
451,"('Bogoniowice Ciężkowice_o', 'Tuchów_i')",1
452,"('Zabrze_o', 'Chorzów Batory_i')",1
453,"('Stalowa Wola Centrum_i', 'Stalowa Wola Centrum_o')",0
454,"('Rejowiec_i', 'Rejowiec_o')",0
455,"('Iława Główna_i', 'Iława Główna_o')",1
456,"('Bielsko-Biała Główna_i', 'Bielsko-Biała Główna_o')",0
457,"('Warszawa Główna_i', 'Warszawa Główna_o')",0
458,"('Trawniki_i', 'Trawniki_o')",0
459,"('Małaszewicze Przystanek_i', 'Małaszewicze Przystanek_o')",0
460,"('Słupsk_o', 'Sławno_i')",1
461,"('Żychlin_o', 'Kutno_i')",1
462,"('Krynica Zdrój_o', 'Muszyna Zdrój_i')",1
463,"('Szczytno_i', 'Szczytno_o')",1
464,"('Brzesko Okocim_o', 'Bochnia_i')",1
465,"('Białogard_i', 'Białogard_o')",2
466,"('Gdynia Główna_o', 'Sopot_i')",2
467,"('Świdwin_o', 'Łobez_i')",1
468,"('Radom Główny_i', 'Radom Główny_o')",2
469,"('Kolbuszowa_i', 'Kolbuszowa_o')",1
470,"('Przeworsk_o', 'Leżajsk_i')",1
471,"('Mieszkowice_o', 'Chojna_i')",1
472,"('Warszawa Gdańska_o', 'Warszawa Wschodnia_i')",1
473,"('Radom Gołębiów_o', 'Warka_i')",1
474,"('Mława_i', 'Mława_o')",1
475,"('Sobolew_o', 'Dęblin_i')",1
476,"('Brzeg_o', 'Opole Główne_i')",2
